,nickname,user_id,content,like_count,time,sub_nickname,sub_user_id,sub_content,sub_like_count,sub_time
0,软装设计师｜花糖,566e3da682718c332265d745,拒绝幂姐的刘昊然[偷笑R],33,1609778546,兔团团,551804b69c5a6e6a9ead41bf,哈哈哈,0.0,1615043376.0
1,薄荷,5efc306f000000000101d5d9,科技改变有钱人的生活,15,1609809163,,,,,
2,ycyycycyyc,5946953b50c4b47a1e6fac55,李享万公关费还是多,10,1610043539,,,,,
3,ICHI物语,5bbefe3d126bed0001cd2241,刚看到这一期，拒绝了林志玲和杨幂的大锤,7,1610029192,,,,,
4,yvonne@菲,568a8e804775a73f5f5c6ae6,哈哈 只喜欢新垣结衣,6,1609814574,,,,,
5,越,602f91c200000000010083ed,无良广告号,2,1614169415,,,,,
6,路边蹲一狼,5e1da3970000000001001b97,五千到一万的床垫。。。,0,1612311864,,,,,
7,W illian,60138d1e0000000001000ab1,恰饭能理解，吃相难看[笑哭R],1,1612123008,,,,,
8,初心,5aeb0beb11be1013800b6314,理想one?,2,1612100286,,,,,
9,「法国Bostik彩砂美缝 」徐先Sen,5e478411000000000100715e,新垣结衣 你的爱[偷笑R],0,1611911641,,,,,
10,✎大﹏先生,574d0f68346094240d36adfa,没事多出去走走,0,1611841602,,,,,
11,冬行,5f966f4f0000000001004762,广告哥再见,3,1611571241,,,,,
12,A^_^田喆,59b64d8550c4b465454128da,走狗,1,1610955669,,,,,
13,Dead Poets Society,5dbaf3260000000001009ca5,ps5手柄，能用在ps4上么,1,1610779993,,,,,
14,Dead Poets Society,5dbaf3260000000001009ca5,4C口，是啥意思,0,1610779863,,,,,
15,萌,5a9e03c6e8ac2b0cfdb4c506,不会有推广吧？,1,1610552689,,,,,
16,XQ,5abf2e3d4eacab79b2097971,十大科技全是苹果的 就没有其他的嘛,3,1610461232,,,,,
17,🌵,5bef739a80e5ac0001b66991,大锤床头氛围灯是什么牌子的？,0,1610283739,,,,,
18,小红薯2DF1557A,5b9121ec651c3900010de276,我不能看你的作品，出了车跟滑板，我是忍不住一样又一样的入手，甚至为了体验床垫把床都淘汰了，被我妈骂了4天败家，就为了那句既然连床都不需要也能活的好，那我还怕失去什么呢！,1,1610282500,,,,,
19,胖胖爱上瘦,59f5e7d24eacab22cc76809f,oppo能用接苹果手机吗？,0,1610280096,,,,,
20,小蜜蜂,5bfa3fe13bdeff0001448dbf,课代表呢,1,1610267865,,,,,
21,GW,5fee3687000000000100a053,[害羞R],0,1610214799,,,,,
22,挚爱粉,5ed199ae000000000100403b,那你出门咋不带oppo的耳机,5,1610153603,,,,,
23,Lorna_Tong,57ba91e782ec391c7980f2d5,出差用，选MacBook AirM1好还是iPad air 4呢？[笑哭R]。预算有限。一个是因为超长续航，一个是为了能用妙控键盘,0,1610122399,,,,,
24,a.旺仔猫🐱,55d1091fc2bdeb4eb66e53a9,你需要个媳妇[偷笑R],0,1610037617,,,,,
25,暖暖是我呀～,5de8b8970000000001001364,宅男大锤,0,1610015236,,,,,
26,冶栩,533d7aacb4c4d60ce633dd9d,电动滑板多少钱,0,1609997855,,,,,
27,Donny Young,5d09064400000000110220f9,床垫和媳妇二选一呢[偷笑R],1,1609986331,前任美妆博主,5658347e447608632f55e9c5,肯定选床垫,0.0,1610005911.0
28,张涛,5c5eea36000000001a015d59,理想，充值了,1,1609971447,,,,,
29,TiTi小姐,5782e6e550c4b46a2b8f7192,哎呀 奇葩说大锤居然在这里,0,1609933422,,,,,
30,偏夏,562c72ec44760839faf25b6d,我去，怎么在小红书看到傻大锤了……,0,1609928712,,,,,
31,惊鸿傲惰,5e3162d000000000010073f0,理想one就算了吧,1,1609902200,,,,,
32,喂,5a8d62c611be107b3a21e34d,看到你上奇葩说了,1,1609898051,,,,,
33,lin_125,56544854b7ba221a633540c8,奇葩说看到的是你吗[笑哭R],0,1609889374,,,,,
34,Yancy,5c95b732000000001203d840,这是刚被淘汰回来吗,0,1609861017,,,,,
35,VQ小年糕,58a5ac9ca9b2ed24b94f6685,拓牛垃圾桶,1,1609848822,,,,,
36,优乐美,55f2b09db7ba222589f5fdf2,对杨幂说对不起的哥哥 哈哈,0,1609846565,,,,,
37,好好,5b140ccee8ac2b79a88fbbec,糟心的一年，希望可以有重新开始的勇气,0,1609844466,,,,,
38,I need a HUG,56658d1882718c3f52c9b2d6,奇葩说里表现挺不错,0,1609842905,,,,,
39,李卓,5d874a7000000000010069d5,你真神,0,1609838932,,,,,
40,Bobo创意美学,5c2e272d000000000502fec5,。,0,1609827103,,,,,
41,朴朴,5a8b761d11be1018d10e9d53,哈哈，喜欢你，真实的可爱，又专业,0,1609822402,,,,,
42,自然,5cd7e4a500000000120394c5,✌️,1,1609817095,,,,,
43,崇仁,5a6ece6711be1032460c3d39,新的糟心一年又来了,0,1609816123,,,,,
44,敏敏,599f920982ec393eee5b74ab,床垫多少钱,0,1609812121,,,,,
45,吴公子Mr,56592e27b8ce1a0d75deca9b,[石化R]哭了，还有5天发工资，看了你的视频，花呗有，支出了7k,1,1609811810,,,,,
46,gzq,5d4160f8000000001600da28,新垣结衣,1,1609811081,,,,,
47,Joooy🍬,5b62ef1ef7e8b95ab531d4dd,每一根apple watch的表带都超级好看，出个合集呗，大锤,1,1609805287,,,,,
48,宽宽爸爸,5a6f2cc14eacab65aae5245e,你真是啥也不怕，对不起[偷笑R],0,1609790189,,,,,
49,Jyyp😂,57dd6c1d82ec39605ec10c9e,红表带还挺好看👀,0,1609781291,,,,,
